strategy,scenario_id,npv_mEUR,total_revenue_mEUR,total_gross_profit_mEUR,total_ebit_mEUR,total_free_cash_flow_mEUR,total_capex_mEUR,total_demand_units,total_delivered_units,total_lost_units,lost_sales_pct_2025_2030,lost_sales_pct_2030_2035,gross_margin_2030,gross_margin_2035,average_utilization,max_ending_backlog_units
A1_Backlog_cautious,120,23786.88002124903,147800.0,88680.0,58848.0,44226.880000000005,5000.0,761.0,739.0,22.0,0.0,0.04263565891472868,0.6,0.6,0.7240740740740741,98.0
A1_Backlog_cautious,121,21983.033929736128,139800.0,83880.0,55818.0,41522.58,5000.0,774.0,699.0,75.0,0.0,0.10990990990990991,0.6,0.6,0.7100000000000001,104.0
A1_Backlog_cautious,122,21822.46656009329,134000.0,80400.0,53440.0,39596.399999999994,5000.0,749.0,670.0,79.0,0.0,0.1490566037735849,0.6,0.6,0.6874074074074074,110.0
A1_Backlog_cautious,123,22264.050065186115,140600.0,84360.0,56146.0,41788.259999999995,5000.0,748.0,703.0,45.0,0.0,0.08620689655172414,0.6,0.6,0.7148148148148149,103.0
A1_Backlog_cautious,124,23607.67907982054,148800.0,89280.0,59258.0,44558.98,5000.0,825.0,744.0,81.0,0.0,0.11764705882352941,0.6,0.6,0.7266666666666667,119.0
A1_Backlog_cautious,125,22086.720348893876,140200.0,84120.0,55982.0,41655.42,5000.0,722.0,701.0,21.0,0.0,0.04032258064516129,0.6,0.6,0.7122222222222222,100.0
A1_Backlog_cautious,126,24684.03953430731,152400.0,91440.0,60484.0,45802.03999999999,5000.0,762.0,762.0,0.0,0.0,0.0,0.6,0.6,0.7192592592592593,87.0
A1_Backlog_cautious,127,24504.83859287882,155000.0,93000.0,61550.0,46665.50000000001,5000.0,864.0,775.0,89.0,0.0,0.13628899835796388,0.6,0.6,0.7277777777777777,111.0
A1_Backlog_cautious,128,21333.79658783906,134800.0,80880.0,53768.0,39862.08,5000.0,726.0,674.0,52.0,0.0,0.1001926782273603,0.6,0.6,0.687037037037037,103.0
A1_Backlog_cautious,129,24836.826114214502,125600.0,75360.0,51496.0,41711.759999999995,0.0,628.0,628.0,0.0,0.0,0.0,0.6,0.6,0.6977777777777778,36.0
A1_Backlog_cautious,130,22430.807157139636,141200.0,84720.0,56392.0,41987.520000000004,5000.0,756.0,706.0,50.0,0.0,0.07924528301886792,0.6,0.6,0.7177777777777777,98.0
A1_Backlog_cautious,131,22249.736788965223,136600.0,81960.0,54506.0,40459.86,5000.0,691.0,683.0,8.0,0.0,0.017094017094017096,0.6,0.6,0.6996296296296297,92.0
A1_Backlog_cautious,132,23786.88002124903,140800.0,84480.0,55978.0,41902.18,5000.0,734.0,704.0,30.0,0.0,0.061855670103092786,0.6,0.6,0.6981481481481481,101.0
A1_Backlog_cautious,133,23295.79409693275,124200.0,74520.0,50922.0,41246.81999999999,0.0,646.0,621.0,25.0,0.0,0.0,0.6,0.6,0.69,85.0
A1_Backlog_cautious,134,22951.752053814125,141200.0,84720.0,56392.0,41987.51999999999,5000.0,736.0,706.0,30.0,0.0,0.061224489795918366,0.6,0.6,0.7214814814814815,90.0
A1_Backlog_cautious,135,20205.224380682062,127200.0,76320.0,50652.0,37338.12,5000.0,637.0,636.0,1.0,0.0,0.0022371364653243847,0.6,0.6,0.6507407407407406,80.0
A1_Backlog_cautious,136,21884.01804265951,139200.0,83520.0,55572.0,41323.32,5000.0,724.0,696.0,28.0,0.0,0.04330708661417323,0.6,0.6,0.7066666666666667,98.0
A1_Backlog_cautious,137,22427.42337333817,138200.0,82920.0,55162.0,40991.22,5000.0,765.0,691.0,74.0,0.0,0.13909774436090225,0.6,0.6,0.707037037037037,100.0
A1_Backlog_cautious,138,21859.99469506094,135600.0,81360.0,54096.0,40127.759999999995,5000.0,689.0,678.0,11.0,0.0,0.02335456475583864,0.6,0.6,0.6933333333333334,72.0
A1_Backlog_cautious,139,24624.305887164483,155000.0,93000.0,61550.0,46665.5,5000.0,814.0,775.0,39.0,0.0,0.0705244122965642,0.6,0.6,0.7285185185185185,107.0
A1_Backlog_cautious,140,24002.97074202292,127200.0,76320.0,52152.0,42243.119999999995,0.0,664.0,636.0,28.0,0.0,0.017857142857142856,0.6,0.6,0.7066666666666667,80.0
