delivery_year,market_cycle,delivery_demand_units,order_year,orders_placed_units,scenario_id,latest_historical_year,starting_historical_demand_units,is_extension_year
2031,upturn,96,2030,96,38,2025,48.0,False
2032,downturn,79,2031,79,38,2025,48.0,False
2033,upturn,80,2032,80,38,2025,48.0,False
2034,upturn,72,2033,72,38,2025,48.0,False
2035,downturn,77,2034,77,38,2025,48.0,False
2026,downturn,50,2025,50,39,2025,48.0,False
2027,upturn,52,2026,52,39,2025,48.0,False
2028,upturn,57,2027,57,39,2025,48.0,False
2029,downturn,58,2028,58,39,2025,48.0,False
2030,upturn,59,2029,59,39,2025,48.0,False
2031,upturn,83,2030,83,39,2025,48.0,False
2032,downturn,69,2031,69,39,2025,48.0,False
2033,upturn,77,2032,77,39,2025,48.0,False
2034,upturn,110,2033,110,39,2025,48.0,False
2035,downturn,76,2034,76,39,2025,48.0,False
2026,downturn,46,2025,46,40,2025,48.0,False
2027,upturn,55,2026,55,40,2025,48.0,False
2028,upturn,61,2027,61,40,2025,48.0,False
2029,downturn,57,2028,57,40,2025,48.0,False
2030,upturn,63,2029,63,40,2025,48.0,False
2031,upturn,96,2030,96,40,2025,48.0,False
2032,downturn,96,2031,96,40,2025,48.0,False
2033,upturn,91,2032,91,40,2025,48.0,False
2034,upturn,95,2033,95,40,2025,48.0,False
2035,downturn,103,2034,103,40,2025,48.0,False
2026,upturn,55,2025,55,41,2025,48.0,False
2027,upturn,59,2026,59,41,2025,48.0,False
2028,downturn,58,2027,58,41,2025,48.0,False
2029,upturn,59,2028,59,41,2025,48.0,False
2030,upturn,54,2029,54,41,2025,48.0,False
2031,downturn,52,2030,52,41,2025,48.0,False
2032,upturn,62,2031,62,41,2025,48.0,False
2033,upturn,88,2032,88,41,2025,48.0,False
2034,downturn,97,2033,97,41,2025,48.0,False
2035,upturn,88,2034,88,41,2025,48.0,False
2026,upturn,53,2025,53,42,2025,48.0,False
2027,upturn,50,2026,50,42,2025,48.0,False
2028,downturn,52,2027,52,42,2025,48.0,False
2029,upturn,55,2028,55,42,2025,48.0,False
2030,upturn,66,2029,66,42,2025,48.0,False
2031,downturn,88,2030,88,42,2025,48.0,False
2032,upturn,103,2031,103,42,2025,48.0,False
2033,upturn,100,2032,100,42,2025,48.0,False
2034,downturn,97,2033,97,42,2025,48.0,False
2035,upturn,110,2034,110,42,2025,48.0,False
2026,upturn,57,2025,57,43,2025,48.0,False
2027,upturn,62,2026,62,43,2025,48.0,False
2028,downturn,62,2027,62,43,2025,48.0,False
2029,upturn,62,2028,62,43,2025,48.0,False
2030,upturn,71,2029,71,43,2025,48.0,False
2031,downturn,95,2030,95,43,2025,48.0,False
2032,upturn,95,2031,95,43,2025,48.0,False
2033,upturn,93,2032,93,43,2025,48.0,False
2034,downturn,73,2033,73,43,2025,48.0,False
2035,upturn,94,2034,94,43,2025,48.0,False
2026,upturn,50,2025,50,44,2025,48.0,False
2027,upturn,59,2026,59,44,2025,48.0,False
2028,downturn,51,2027,51,44,2025,48.0,False
2029,upturn,66,2028,66,44,2025,48.0,False
2030,upturn,61,2029,61,44,2025,48.0,False
2031,downturn,73,2030,73,44,2025,48.0,False
2032,upturn,82,2031,82,44,2025,48.0,False
2033,upturn,84,2032,84,44,2025,48.0,False
2034,downturn,76,2033,76,44,2025,48.0,False
2035,upturn,90,2034,90,44,2025,48.0,False
2026,upturn,55,2025,55,45,2025,48.0,False
2027,upturn,66,2026,66,45,2025,48.0,False
2028,downturn,61,2027,61,45,2025,48.0,False
2029,upturn,64,2028,64,45,2025,48.0,False
2030,upturn,66,2029,66,45,2025,48.0,False
2031,downturn,86,2030,86,45,2025,48.0,False
2032,upturn,95,2031,95,45,2025,48.0,False
2033,upturn,102,2032,102,45,2025,48.0,False
2034,downturn,86,2033,86,45,2025,48.0,False
2035,upturn,73,2034,73,45,2025,48.0,False
2026,upturn,58,2025,58,46,2025,48.0,False
2027,upturn,66,2026,66,46,2025,48.0,False
2028,downturn,60,2027,60,46,2025,48.0,False
2029,upturn,63,2028,63,46,2025,48.0,False
2030,upturn,59,2029,59,46,2025,48.0,False
2031,downturn,69,2030,69,46,2025,48.0,False
2032,upturn,78,2031,78,46,2025,48.0,False
2033,upturn,87,2032,87,46,2025,48.0,False
2034,downturn,85,2033,85,46,2025,48.0,False
2035,upturn,86,2034,86,46,2025,48.0,False
2026,downturn,54,2025,54,47,2025,48.0,False
2027,upturn,58,2026,58,47,2025,48.0,False
2028,upturn,63,2027,63,47,2025,48.0,False
2029,downturn,49,2028,49,47,2025,48.0,False
2030,upturn,50,2029,50,47,2025,48.0,False
2031,upturn,78,2030,78,47,2025,48.0,False
2032,downturn,66,2031,66,47,2025,48.0,False
2033,upturn,85,2032,85,47,2025,48.0,False
2034,upturn,88,2033,88,47,2025,48.0,False
2035,downturn,83,2034,83,47,2025,48.0,False
2026,downturn,52,2025,52,48,2025,48.0,False
2027,upturn,62,2026,62,48,2025,48.0,False
2028,upturn,64,2027,64,48,2025,48.0,False
2029,downturn,56,2028,56,48,2025,48.0,False
2030,upturn,61,2029,61,48,2025,48.0,False
2031,upturn,92,2030,92,48,2025,48.0,False
2032,downturn,71,2031,71,48,2025,48.0,False
2033,upturn,63,2032,63,48,2025,48.0,False
2034,upturn,79,2033,79,48,2025,48.0,False
2035,downturn,82,2034,82,48,2025,48.0,False
2026,upturn,55,2025,55,49,2025,48.0,False
2027,upturn,63,2026,63,49,2025,48.0,False
2028,downturn,61,2027,61,49,2025,48.0,False
2029,upturn,60,2028,60,49,2025,48.0,False
2030,upturn,69,2029,69,49,2025,48.0,False
2031,downturn,92,2030,92,49,2025,48.0,False
2032,upturn,99,2031,99,49,2025,48.0,False
2033,upturn,104,2032,104,49,2025,48.0,False
2034,downturn,92,2033,92,49,2025,48.0,False
2035,upturn,90,2034,90,49,2025,48.0,False
2026,downturn,48,2025,48,50,2025,48.0,False
2027,upturn,53,2026,53,50,2025,48.0,False
2028,upturn,54,2027,54,50,2025,48.0,False
2029,downturn,62,2028,62,50,2025,48.0,False
2030,upturn,66,2029,66,50,2025,48.0,False
2031,upturn,90,2030,90,50,2025,48.0,False
2032,downturn,76,2031,76,50,2025,48.0,False
2033,upturn,94,2032,94,50,2025,48.0,False
2034,upturn,95,2033,95,50,2025,48.0,False
2035,downturn,75,2034,75,50,2025,48.0,False
2026,downturn,48,2025,48,51,2025,48.0,False
2027,upturn,59,2026,59,51,2025,48.0,False
2028,upturn,61,2027,61,51,2025,48.0,False
2029,downturn,54,2028,54,51,2025,48.0,False
2030,upturn,55,2029,55,51,2025,48.0,False
2031,upturn,86,2030,86,51,2025,48.0,False
2032,downturn,80,2031,80,51,2025,48.0,False
2033,upturn,95,2032,95,51,2025,48.0,False
2034,upturn,87,2033,87,51,2025,48.0,False
2035,downturn,74,2034,74,51,2025,48.0,False
2026,upturn,56,2025,56,52,2025,48.0,False
2027,upturn,71,2026,71,52,2025,48.0,False
2028,downturn,67,2027,67,52,2025,48.0,False
2029,upturn,68,2028,68,52,2025,48.0,False
2030,upturn,70,2029,70,52,2025,48.0,False
2031,downturn,90,2030,90,52,2025,48.0,False
2032,upturn,93,2031,93,52,2025,48.0,False
2033,upturn,102,2032,102,52,2025,48.0,False
2034,downturn,97,2033,97,52,2025,48.0,False
2035,upturn,119,2034,119,52,2025,48.0,False
2026,downturn,48,2025,48,53,2025,48.0,False
2027,upturn,55,2026,55,53,2025,48.0,False
2028,upturn,64,2027,64,53,2025,48.0,False
2029,downturn,51,2028,51,53,2025,48.0,False
2030,upturn,50,2029,50,53,2025,48.0,False
2031,upturn,54,2030,54,53,2025,48.0,False
2032,downturn,51,2031,51,53,2025,48.0,False
2033,upturn,66,2032,66,53,2025,48.0,False
2034,upturn,87,2033,87,53,2025,48.0,False
2035,downturn,78,2034,78,53,2025,48.0,False
2026,upturn,53,2025,53,54,2025,48.0,False
2027,upturn,54,2026,54,54,2025,48.0,False
2028,downturn,49,2027,49,54,2025,48.0,False
2029,upturn,61,2028,61,54,2025,48.0,False
2030,upturn,66,2029,66,54,2025,48.0,False
2031,downturn,85,2030,85,54,2025,48.0,False
2032,upturn,83,2031,83,54,2025,48.0,False
2033,upturn,85,2032,85,54,2025,48.0,False
2034,downturn,86,2033,86,54,2025,48.0,False
2035,upturn,86,2034,86,54,2025,48.0,False
2026,downturn,47,2025,47,55,2025,48.0,False
2027,upturn,54,2026,54,55,2025,48.0,False
2028,upturn,62,2027,62,55,2025,48.0,False
2029,downturn,66,2028,66,55,2025,48.0,False
